xt,yt,zt
-0.76689965,-0.12526003,-0.6294242
-0.88144356,-0.19078778,-0.43203858
-0.91627604,-0.13252558,-0.37798825
-0.12515281,-0.69503075,-0.7080035
-0.7563707,-0.30871826,-0.5767116
-0.7852939,-0.31328067,-0.53401184
-0.1664805,-0.89691514,-0.40966764
-0.6419929,-0.5868185,-0.49344605
-0.2769982,-0.6002643,-0.7503031
-0.38588506,-0.64965254,-0.6550147
-0.34953275,-0.6355091,-0.6884439
-0.8087102,-0.5515478,-0.20440844
-0.79113024,-0.58765304,-0.16963708
-0.118534766,-0.9544046,-0.27397358
-0.08422629,-0.9477201,-0.30778652
-0.11667844,-0.55300856,-0.82496524
-0.110003464,-0.84524673,-0.5229314
-0.12621886,-0.8168358,-0.5628926
-0.80200917,-0.58483315,-0.121455096
-0.77104634,-0.62263435,-0.13346973
-0.2423865,-0.9637907,-0.11115848
-0.22531274,-0.1223293,-0.9665763
-0.8752705,-0.10381646,-0.47235975
-0.2223957,-0.3249459,-0.9192118
-0.36319953,-0.9279995,-0.08308369
-0.118200116,-0.90738845,-0.40332976
-0.79601204,-0.08705098,-0.59898835
-0.8985293,-0.42654243,-0.103472166
-0.11454652,-0.73180825,-0.6718153
-0.7059881,-0.118974626,-0.6981589
-0.67024285,-0.09789042,-0.73565745
-0.6381161,-0.14396386,-0.7563612
-0.88377905,-0.461363,-0.07796673
-0.55848104,-0.7999252,-0.21958701
-0.28730476,-0.5570609,-0.7791912
-0.58677053,-0.79017156,-0.17700028
-0.56697786,-0.81299686,-0.13255946
-0.6089791,-0.7821911,-0.13161156
-0.1655677,-0.5331838,-0.8296399
-0.1342112,-0.47139755,-0.87164885
-0.89713573,-0.113369085,-0.42696023
-0.10759018,-0.9841798,-0.1407636
-0.13512397,-0.9865106,-0.092403665
-0.077561535,-0.9798476,-0.18407294
-0.59925824,-0.7539429,-0.26918325
-0.0693611,-0.5641308,-0.8227669
-0.62719,-0.09370303,-0.7732092
-0.5981275,-0.13744156,-0.78952724
-0.08403288,-0.8939998,-0.44011688
-0.047539487,-0.6047833,-0.7949699
-0.22498307,-0.27472606,-0.9348306
-0.60323346,-0.62129253,-0.5001049
-0.9482069,-0.08890059,-0.30495954
-0.96296424,-0.087022595,-0.2552001
-0.04732988,-0.03385617,-0.9983054
-0.090601966,-0.04890528,-0.99468565
-0.0897362,-0.10337334,-0.9905864
-0.045010794,-0.791302,-0.6097664
-0.05301904,-0.85233486,-0.52030206
-0.72512007,-0.042705625,-0.687297
-0.739208,-0.08940986,-0.6675158
-0.87600565,-0.051209696,-0.4795744
